Identifier,Record_URL,RecordDownload_URL,Thumbnail_URL,Business_Name,Record_Title,Business_Type,Notable_Graphics,Transcribed_Text,Colors,Subjects_LCSH,StreetAddress,City,County ,State,Country,Latitude,Longitude,Collection_Title,Rights
1402226,https://collections.lib.utah.edu/ark:/87278/s6v16hnm,https://collections.lib.utah.edu/file?id=1402226,https://collections.lib.utah.edu/dl_thumbs/d5/79/d57983708c47d38d58967d7e15f72a72116faec6.jpg,American Auto Parts,"American Auto Parts matchbook, Salt Lake City, Utah [1]",Automobile Equipment and Supplies Stores,Auto parts,American Auto Parts; open 5 A.M. to 10 P.M.,Hot pink background with white text,Advertising; Graphic arts; Automobile equipment & supplies stores,2575 South State ,Salt Lake City,Salt Lake County,Utah,United States,40.714621,-111.887891,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402227,https://collections.lib.utah.edu/ark:/87278/s6q85rwf,https://collections.lib.utah.edu/file?id=1402227,https://collections.lib.utah.edu/dl_thumbs/2a/85/2a859fabdfcea6047e194f55963883f89c690a78.jpg,Alta Motor Lodge,"Alta Motor Lodge matchbook, Salt Lake City, Utah [2]",Hotels,,,,Advertising; Graphic arts; Hotels,1899 South State Street,Salt Lake City,Salt Lake County,Utah,United States,40.7290141,-111.8881441,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402228,https://collections.lib.utah.edu/ark:/87278/s6kh513m,https://collections.lib.utah.edu/file?id=1402228,https://collections.lib.utah.edu/dl_thumbs/dd/40/dd400adf23bf553c184b0b6b5f14eecad26e5ab5.jpg,Alta Motor Lodge ,"Alta Motor Lodge matchbook, Salt Lake City, Utah [1]",Hotels,"Interior of hotel room, 1930s dresser.",Your home away from home,Brown background with black text and graphics,Advertising; Graphic arts; Hotels,1899 South State Street,Salt Lake City,Salt Lake County,Utah,United States,40.7290141,-111.8881441,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402229,https://collections.lib.utah.edu/ark:/87278/s6fr48fs,https://collections.lib.utah.edu/file?id=1402229,https://collections.lib.utah.edu/dl_thumbs/19/14/19149a11fedc85859a423ae4906b89b927731cd4.jpg,Andy's,"Andy's matchbook, Salt Lake City, Utah [2]",Restaurants,Chef at table,"American style smorgasbord; prime rib & steak; catering to weddings, clubs, private parties; Salt Lake City, Denver","White background, blue and gold text, pin and red graphic",Advertising; Graphic arts; Restaurants,,,,,,,,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402232,https://collections.lib.utah.edu/ark:/87278/s6b03hrt,https://collections.lib.utah.edu/file?id=1402232,https://collections.lib.utah.edu/dl_thumbs/d4/cf/d4cf8e05c22b6db41f9e344d43e2a2a232c2e908.jpg,Andy's,"Andy's matchbook, Salt Lake City, Utah [3]",Restaurants,,Andy's famous for Smorgasbord and prime rib; Andy's rooms for private parties clubs or weddings,"Baby pink with white text, graphic of chef carrying food tray",Advertising; Graphic arts; Restaurants,3350 Highland Drive ,Highland Village,Salt Lake County,,,40.6987622,-111.8503314,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402235,https://collections.lib.utah.edu/ark:/87278/s66b1gcx,https://collections.lib.utah.edu/file?id=1402235,https://collections.lib.utah.edu/dl_thumbs/06/40/0640b05cfc101c2a3c2d77f24cea3c749fb3c675.jpg,A.A. Maycock Co.,"A.A. Maycock Co. matchbook, Salt Lake City, Utah",Selling--Heating equipment,,,,Advertising; Graphic arts; Selling--Heating equipment,330 W Seventh South,Salt Lake City,Salt Lake County,,,40.7548335,-112.0375712,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402238,https://collections.lib.utah.edu/ark:/87278/s62k0qq3,https://collections.lib.utah.edu/file?id=1402238,https://collections.lib.utah.edu/dl_thumbs/56/44/56445159094a885c6d885d1cf4250b1c816c652d.jpg,Andy's,"Andy's matchbook, Highland Village, Utah [1]",Restaurants,,Andy's famous for Smorgasbord and prime rib; Andy's rooms for private parties clubs or weddings,"Pink with white text, graphic of chef carrying food tray, inside shows street map with directions to restaruant",Advertising; Graphic arts; Restaurants,3350 Highland Drive ,Highland Village,Salt Lake County,Utah,United States,40.6987947,-111.8504774,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402241,https://collections.lib.utah.edu/ark:/87278/s6xt078n,https://collections.lib.utah.edu/file?id=1402241,https://collections.lib.utah.edu/dl_thumbs/12/df/12df30e908fa24297923f873929645aa0544c415.jpg,Andy's,"Andy's matchbook, Salt Lake City, Utah [4]",Restaurants,Chef at table,"American style smorgasbord; prime rib & steak; catering to weddings, clubs, private parties; Salt Lake City, Denver","White background, blue and gold text, pin and red graphic",Advertising; Graphic arts; Restaurants,,,,,,40.6987947,-111.8504774,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402244,https://collections.lib.utah.edu/ark:/87278/s6t19gh7,https://collections.lib.utah.edu/file?id=1402244,https://collections.lib.utah.edu/dl_thumbs/a3/7a/a37a96ca0a4fb5bd2603fb9c8eb948cfcb57baf2.jpg,Andy's Teogra,"Andy's Teogra matchbook, Salt Lake City, Utah",Restaurants,,"Andy's Teogra; For The Finest in Smorgasboard prime rib & steak, visit Andy's Fine Restaurants; Restaurants Teogra 1900 So. State Salt Lake City, 3350 Highland Dr. Salt Lake City, 490 So. Colorado Blvd, 2401 So. Camelback Rd. Phoenix; Smorgasboard. The fine old Scandinavian custom has truly taken strong roots in the American people. The very word Smorgasboard implies relaxation, the leisure to enjoy the combination and quality we all like. The chief charm of the Smorgasboard is the opportunity to enjoy your very own choice from the enticing selections before you. Please feel that you are welcome to all that you can eat and enjoy to return to the table as often as you desire, but to get the full enjoyment of the Smorgasboard we suggest you start with the appetizers, salads, jellied molds and seafoods. Then return for those which have particularly taken your fancy. Finally return for a warm plate to make your selection from our many hot dishes.; Lion Match Co., Inc., Salt Lake City, Utah.",,Advertising; Graphic arts; Restaurants,1900 So. State ,Salt Lake City,Salt Lake County,Utah,United States,40.7293241,-111.8883159,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402247,https://collections.lib.utah.edu/ark:/87278/s6p88qqm,https://collections.lib.utah.edu/file?id=1402247,https://collections.lib.utah.edu/dl_thumbs/00/1d/001d859d1aa8beafdf4e3939cecd3b3078823d1e.jpg,The Ashtonian,"The Ashtonian matchbook, Salt Lake City, Utah",Bars,"Draft pouring beer in glass, exterior of building","Nightly Entertainment; Meet your friends in a friendly respectable atmosphere.; Draught and Bottled Beer; STOP AT THE SCENE OF ACTION; ENJOY: Direct draw Yorkaire, Fine Entertainment, All Leading Brands Of Bottled Beer",Light blue with silver text,Advertising; Graphic arts; Bars,502 South State,Salt Lake City,Salt Lake County,Utah,United States,40.725206,-111.876419,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402250,https://collections.lib.utah.edu/ark:/87278/s6jh8014,https://collections.lib.utah.edu/file?id=1402250,https://collections.lib.utah.edu/dl_thumbs/38/0d/380dd9ee631a6ca890bab61dafb1191aaae425c1.jpg,The Athenian,"The Athenian matchbook, Salt Lake City, Utah",Restaurants,"Greek woman in traditional dress, base of column, bouzouki musical instrument",The ATHENIAN Salt Lake's Unique Supper Club; authentic Grecian cuisine; Musical Luncheon Daily 11 a.m. to 4 p.m.,Royal blue with white text,Advertising; Graphic arts; Restaurants,247 East 2nd South,Salt Lake City,Salt Lake County,Utah,United States,40.7719468,-111.8821028,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402253,https://collections.lib.utah.edu/ark:/87278/s6dv5xqb,https://collections.lib.utah.edu/file?id=1402253,https://collections.lib.utah.edu/dl_thumbs/64/82/6482546f9ece3e2d70f5ca924c3ccaec3c2bc1d6.jpg,American Bush,"American Bush matchbook, Salt Lake City, Utah",Nightclubs,Triangle grahic,"Salt Lake City, American Bush; Exotic Dancers; Wendover American Bush 1930 Plateau Wy.",Black with tan (or gold) text,Advertising; Graphic arts; Nightclubs,2630 SO. 300 W,Salt Lake City,Salt Lake County,Utah,United States,40.7144092,-111.9003156,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
