date_digital_t,date_t,spatial_coverage_t,collection_number_and_name_t,type_t,created_tdt,description_t,subject_t,ark_t,title_t,setname_s,creator_t,access_rights_t,file_name_t,genre_t,language_t,contributor_t,id,topic_t,rights_t,format_t,relation_t,modified_tdt
2016-05-02,1985-02-06,"Bingham, Salt Lake County, Utah, United States","ACCN 1369, Hispanic Oral Histories, 1984-1987",Text,2016-08-03T00:00:00Z,"Transcript (102 pages) of part 1 of 2 of interviews by Leslie Kelen with Esperanza and Gavnio Aguayo, on February 6, 1985 and February 25, 1985.","Mexican Americans--Utah--Interviews; Aguayo, Esperanza, 1932- --Interviews; Aguayo, Gavnio--Interviews; Discrimination against Mexican Americans; Emigration and immigration--Social aspects",ark:/87278/s64j2mvp,"Esperanza and Gavino Aguayo, No. 1, Hispanic Oral Histories, Accn 1369",uum_hoh,"Aguayo, Esperanza, 1932-; Aguayo, Gavino","I acknowledge and agree that all information I obtain as a result of accessing any oral history provided by the University of Utah’s Marriott Library shall be used only for historical or scholarly or academic research purposes, and not for commercial purposes. I understand that any other use of the materials is not authorized by the University of Utah and may exceed the scope of permission granted to the University of Utah by the interviewer or interviewee. I may request permission for other uses, in writing to Special Collections at the Marriott Library, which the University of Utah may choose grant, in its sole discretion. I agree to defend, indemnify and hold the University of Utah and its Marriott Library harmless for and against any actions or claims that relate to my improper use of materials provided by the University of Utah.",1369_001_02.pdf,oral histories (literary works),eng,"Kelen, Leslie G., 1949-",893604,Mexican Americans; Emigration and immigration--Social aspects,http://rightsstatements.org/page/InC-EDU/1.0/,application/pdf,http://archiveswest.orbiscascade.org/ark:/80444/xv46923,2016-08-03T00:00:00Z
2016-05-02,1985-02-06,"Bingham, Salt Lake County, Utah, United States","ACCN 1369, Hispanic Oral Histories, 1984-1987",Text,2016-08-03T00:00:00Z,"Transcript (102 pages) of part 2 of 2 of interviews by Leslie Kelen with Esperanza and Gavnio Aguayo, on February 6, 1985 and February 25, 1985.","Mexican Americans--Utah--Interviews; Aguayo, Esperanza, 1932- --Interviews; Aguayo, Gavnio--Interviews; World War, 1939-1945--Personal narratives, American; Kennecott Copper Corporation; Emigration and immigration--Social aspects",ark:/87278/s60w0kgs,"Esperanza and Gavino Aguayo, No. 2, Hispanic Oral Histories, Accn 1369",uum_hoh,"Aguayo, Esperanza, 1932-; Aguayo, Gavino","I acknowledge and agree that all information I obtain as a result of accessing any oral history provided by the University of Utah’s Marriott Library shall be used only for historical or scholarly or academic research purposes, and not for commercial purposes. I understand that any other use of the materials is not authorized by the University of Utah and may exceed the scope of permission granted to the University of Utah by the interviewer or interviewee. I may request permission for other uses, in writing to Special Collections at the Marriott Library, which the University of Utah may choose grant, in its sole discretion. I agree to defend, indemnify and hold the University of Utah and its Marriott Library harmless for and against any actions or claims that relate to my improper use of materials provided by the University of Utah.",1369_001_03.pdf,oral histories (literary works),eng,"Kelen, Leslie G., 1949-",893095,Mexican Americans; World War (1939-1945); Kennecott Copper Corporation; Emigration and immigration--Social aspects,http://rightsstatements.org/page/InC-EDU/1.0/,application/pdf,http://archiveswest.orbiscascade.org/ark:/80444/xv46923,2016-08-03T00:00:00Z
2015-12-28,1973-03-15,"Carbon County, Utah, United States, http://sws.geonames.org/5536454","Accn1479, Carbon County oral history project, 1972-1993",Text,2016-04-04T00:00:00Z,"The interview with Mary Campedell and Mary Romano covers the subjects of the places they lived, recreation and buildings in Helper, Utah, ethnic traditions, accidents, wages, strikes, and travel. The Carbon County oral history project (1972-1993) consists of oral histories from residents of Carbon County, Utah. While the main emphasis is on living in coal mine country, the interviews are verbal snapshots of rural Utah life from the earliest settlers to as recently as 1993.","Campedell, Mary--Interviews; Romano, Mary--Interviews; Coal mines and mining--Utah; Italian Americans--Social life and customs; United States--Emigration and immigration; Strikes and lockouts--Miners--Utah",ark:/87278/s6xp97bk,"Mary Campedell and Mary Romano, Price, Utah, Carbon County oral history project, No. CC-43, March 15, 1973",uum_ccoh,"Campedell, Mary; Romano, Mary","I acknowledge and agree that all information I obtain as a result of accessing any oral history provided by the University of Utah’s Marriott Library shall be used only for historical or scholarly or academic research purposes, and not for commercial purposes. I understand that any other use of the materials is not authorized by the University of Utah and may exceed the scope of permission granted to the University of Utah by the interviewer or interviewee. I may request permission for other uses, in writing to Special Collections at the Marriott Library, which the University of Utah may choose grant, in its sole discretion. I agree to defend, indemnify and hold the University of Utah and its Marriott Library harmless for and against any actions or claims that relate to my improper use of materials provided by the University of Utah.",1479_001_08.pdf,oral histories (literary works),eng,"Brandol, Mary; University of Utah. American West Center",784445,Italian Americans--Social life and customs; Coal mines and mining; Strikes and lockouts--Miners,http://rightsstatements.org/vocab/CNE/1.0/,application/pdf,http://archiveswest.orbiscascade.org/ark:/80444/xv38397,2016-04-04T00:00:00Z
2015-12-28,1982-05-05,"Mohrland, Emery County, Utah, United States, http://sws.geonames.org/5543317","Accn1479, Carbon County oral history project, 1972-1993",Text,2016-04-04T00:00:00Z,"The interview with Remo Spigarelli covers the subjects of his background and family information, work in Mohrland, the mining strikes of 1922, bakeries, union organization, playing baseball in Mohrland, childhood activities, the boom and bust of coal mining, and the mining bosses. The Carbon County oral history project (1972-1993) consists of oral histories from residents of Carbon County, Utah. While the main emphasis is on living in coal mine country, the interviews are verbal snapshots of rural Utah life from the earliest settlers to as recently as 1993.","Spigarelli, Remo--Interviews; Carbon County (Utah); Coal mines and mining--Utah; Strikes and lockouts--Miners--Utah; Miners--Labor unions",ark:/87278/s69s3tf4,"Remo Spigarelli, Carbonville, Utah, Carbon County oral history project, No. 4, May 5, 1982",uum_ccoh,"Spigarelli, Remo","I acknowledge and agree that all information I obtain as a result of accessing any oral history provided by the University of Utah’s Marriott Library shall be used only for historical or scholarly or academic research purposes, and not for commercial purposes. I understand that any other use of the materials is not authorized by the University of Utah and may exceed the scope of permission granted to the University of Utah by the interviewer or interviewee. I may request permission for other uses, in writing to Special Collections at the Marriott Library, which the University of Utah may choose grant, in its sole discretion. I agree to defend, indemnify and hold the University of Utah and its Marriott Library harmless for and against any actions or claims that relate to my improper use of materials provided by the University of Utah.",1479_002_16.pdf,oral histories (literary works),eng,"Taniguchi, Nancy; University of Utah. American West Center",784310,Miners--Labor Unions; Utah--Carbon County; Coal mines and mining; Strikes and lockouts--Miners,http://rightsstatements.org/vocab/CNE/1.0/,application/pdf,http://archiveswest.orbiscascade.org/ark:/80444/xv38397,2016-04-04T00:00:00Z
2015-12-28,1982-05-04,"Carbon County, Utah, United States, http://sws.geonames.org/5536454","Accn1479, Carbon County oral history project, 1972-1993",Text,2016-04-04T00:00:00Z,"The interview with Ivan and Edith Lambson and Edna Vee Alger covers the subjects of Edna's teaching background, reasons for moving to Carbon County, and Edith's dugout house. The Carbon County oral history project (1972-1993) consists of oral histories from residents of Carbon County, Utah. While the main emphasis is on living in coal mine country, the interviews are verbal snapshots of rural Utah life from the earliest settlers to as recently as 1993.","Alger, Edna Vee, 1900-1991--Interviews; Lambson, Ivan, 1904-1992--Interviews; Lambson, Edith, 1907-2003--Interviews; Coal mines and mining--Utah",ark:/87278/s6q54s0s,"Ivan and Edith Lambson and Edna Vee Alger, Price, Utah, Carbon County oral history project, No. 14, May 4, 1982",uum_ccoh,"Alger, Edna Vee, 1900-1991; Lambson, Ivan, 1904-1992; Lambson, Edith, 1907-2003","I acknowledge and agree that all information I obtain as a result of accessing any oral history provided by the University of Utah’s Marriott Library shall be used only for historical or scholarly or academic research purposes, and not for commercial purposes. I understand that any other use of the materials is not authorized by the University of Utah and may exceed the scope of permission granted to the University of Utah by the interviewer or interviewee. I may request permission for other uses, in writing to Special Collections at the Marriott Library, which the University of Utah may choose grant, in its sole discretion. I agree to defend, indemnify and hold the University of Utah and its Marriott Library harmless for and against any actions or claims that relate to my improper use of materials provided by the University of Utah.",1479_001_02.pdf,oral histories (literary works),eng,"Taniguchi, Nancy; University of Utah. American West Center",784919,Coal mines and mining,http://rightsstatements.org/vocab/CNE/1.0/,application/pdf,http://archiveswest.orbiscascade.org/ark:/80444/xv38397,2016-04-04T00:00:00Z
2015-12-28,1982-05-11,"Hiawatha, Carbon County, Utah, United States, http://sws.geonames.org/5540396 ; Wattis, Carbon County, Utah, United States, http://sws.geonames.org/5549307","Accn1479, Carbon County oral history project, 1972-1993",Text,2016-04-04T00:00:00Z,"The interview with Roldo Shaw and Gertrude Shaw covers the subjects of their background and early employment information, the Royal mine explosion, farm life, Walter Lee Shaw's police beating and potential trial, and Roldo's work in Wattis and Hiawatha. The Carbon County oral history project (1972-1993) consists of oral histories from residents of Carbon County, Utah. While the main emphasis is on living in coal mine country, the interviews are verbal snapshots of rural Utah life from the earliest settlers to as recently as 1993.","Shaw, Roldo, 1907-1993--Interviews; Shaw, Gertrude, 1911-1993--Interviews; Carbon County (Utah); Coal mines and mining--Utah",ark:/87278/s66132pn,"Mr. and Mrs. Roldo Shaw, Price, Utah, Carbon County oral history project, No. 12, May 11, 1982",uum_ccoh,"Shaw, Roldo, 1907-1993; Shaw, Gertrude, 1911-1993","I acknowledge and agree that all information I obtain as a result of accessing any oral history provided by the University of Utah’s Marriott Library shall be used only for historical or scholarly or academic research purposes, and not for commercial purposes. I understand that any other use of the materials is not authorized by the University of Utah and may exceed the scope of permission granted to the University of Utah by the interviewer or interviewee. I may request permission for other uses, in writing to Special Collections at the Marriott Library, which the University of Utah may choose grant, in its sole discretion. I agree to defend, indemnify and hold the University of Utah and its Marriott Library harmless for and against any actions or claims that relate to my improper use of materials provided by the University of Utah.",1479_002_17.pdf,oral histories (literary works),eng,"Taniguchi, Nancy; University of Utah. American West Center",783716,Utah--Carbon County; Coal mines and mining,http://rightsstatements.org/vocab/CNE/1.0/,application/pdf,http://archiveswest.orbiscascade.org/ark:/80444/xv38397,2016-04-04T00:00:00Z
2015-12-28,1982-05-13,"Sunnyside, Carbon County, Utah, United States, http://sws.geonames.org/5547857","Accn1479, Carbon County oral history project, 1972-1993",Text,2016-04-04T00:00:00Z,"The interview with Anna Tolich covers the subjects of immigration to the United States and background information, the ethnic, religious, and social makeup of Sunnyside, the Castle Gate mine explosion, the 1922 mine strike, the 1936 mine strike, and moving to Spring Glen. The Carbon County oral history project (1972-1993) consists of oral histories from residents of Carbon County, Utah. While the main emphasis is on living in coal mine country, the interviews are verbal snapshots of rural Utah life from the earliest settlers to as recently as 1993.","Tolich, Anna Marolt, 1907-2006--Interviews; Croatian Americans; Carbon County (Utah); United States--Emigration and immigration; Strikes and lockouts--Miners--Utah; Coal mines and mining--Utah",ark:/87278/s62829xg,"Anna Tolich, Spring Glen, Utah, Carbon County oral history project, No. 18, May 13, 1982",uum_ccoh,"Tolich, Anna Marolt, 1907-2006","I acknowledge and agree that all information I obtain as a result of accessing any oral history provided by the University of Utah’s Marriott Library shall be used only for historical or scholarly or academic research purposes, and not for commercial purposes. I understand that any other use of the materials is not authorized by the University of Utah and may exceed the scope of permission granted to the University of Utah by the interviewer or interviewee. I may request permission for other uses, in writing to Special Collections at the Marriott Library, which the University of Utah may choose grant, in its sole discretion. I agree to defend, indemnify and hold the University of Utah and its Marriott Library harmless for and against any actions or claims that relate to my improper use of materials provided by the University of Utah.",1479_002_18.pdf,oral histories (literary works),eng,"Taniguchi, Nancy; University of Utah. American West Center",783888,Croatian Americans; Strikes and lockouts--Miners; Utah--Carbon County; Coal mines and mining,http://rightsstatements.org/vocab/CNE/1.0/,application/pdf,http://archiveswest.orbiscascade.org/ark:/80444/xv38397,2016-04-04T00:00:00Z
2015-12-28,1973-03-26,"Carbon County, Utah, United States, http://sws.geonames.org/5536454","Accn1479, Carbon County oral history project, 1972-1993",Text,2016-04-04T00:00:00Z,"The interview with Pasquale and Sophia Tunno covers the subjects of their background in Italy, coming to the United States, the draft, wine-making, remedies, music, dance, crafts, and food. The Carbon County oral history project (1972-1993) consists of oral histories from residents of Carbon County, Utah. While the main emphasis is on living in coal mine country, the interviews are verbal snapshots of rural Utah life from the earliest settlers to as recently as 1993.","Tunno, Pasquale--Interviews; Tunno, Sophia, 1895- --Interviews; Carbon County (Utah); Coal mines and mining--Utah; United States--Emigration and immigration; Italian Americans--Social life and customs",ark:/87278/s6j988tp,"Pasquale and Sophia Tunno, Price, Utah, Carbon County Utah, Carbon County oral history project, No. CC-36, March 26. 1973",uum_ccoh,"Tunno, Pasquale; Tunno, Sophia, 1895-","I acknowledge and agree that all information I obtain as a result of accessing any oral history provided by the University of Utah’s Marriott Library shall be used only for historical or scholarly or academic research purposes, and not for commercial purposes. I understand that any other use of the materials is not authorized by the University of Utah and may exceed the scope of permission granted to the University of Utah by the interviewer or interviewee. I may request permission for other uses, in writing to Special Collections at the Marriott Library, which the University of Utah may choose grant, in its sole discretion. I agree to defend, indemnify and hold the University of Utah and its Marriott Library harmless for and against any actions or claims that relate to my improper use of materials provided by the University of Utah.",1479_003_03.pdf,oral histories (literary works),eng,"Bruno, Melanie; University of Utah. American West Center",785340,Italian Americans--Social life and customs; Utah--Carbon County; Coal mines and mining,http://rightsstatements.org/vocab/CNE/1.0/,application/pdf,http://archiveswest.orbiscascade.org/ark:/80444/xv38397,2016-04-04T00:00:00Z
2015-12-28,1993-07-10,"Carbon County, Utah, United States, http://sws.geonames.org/5536454","Accn1479, Carbon County oral history project, 1972-1993",Text,2016-04-04T00:00:00Z,"The interview with Lillie Erkkila Woolsey covers the subjects of family background, her mother's boarding house, daily life, the flu epidemic, strikes and the united mine workers, ethnic groups, weaving, and homemade medications. The Carbon County oral history project (1972-1993) consists of oral histories from residents of Carbon County, Utah. While the main emphasis is on living in coal mine country, the interviews are verbal snapshots of rural Utah life from the earliest settlers to as recently as 1993.","Woolsey, Lillie Erkkila, 1920-2012--Interviews; Carbon County (Utah); Coal mines and mining--Utah; Strikes and lockouts--Miners--Utah; Miners--Labor unions; Finnish Americans--Social life and customs",ark:/87278/s61858wf,"Lillie Erkkila Woolsey, Clear Creak, Utah, Carbon County oral history project, No. 2, July 10, 1993",uum_ccoh,"Woolsey, Lillie Erkkila, 1920-2012","I acknowledge and agree that all information I obtain as a result of accessing any oral history provided by the University of Utah’s Marriott Library shall be used only for historical or scholarly or academic research purposes, and not for commercial purposes. I understand that any other use of the materials is not authorized by the University of Utah and may exceed the scope of permission granted to the University of Utah by the interviewer or interviewee. I may request permission for other uses, in writing to Special Collections at the Marriott Library, which the University of Utah may choose grant, in its sole discretion. I agree to defend, indemnify and hold the University of Utah and its Marriott Library harmless for and against any actions or claims that relate to my improper use of materials provided by the University of Utah.",1479_003_07.pdf,oral histories (literary works),eng,"Tomsic, Madge; Kirkwood, Alene; University of Utah. American West Center",784143,Finnish Americans--Social life and customs; Miners--Labor unions; Strikes and lockouts--Miners; Utah--Carbon County; Coal mines and mining,http://rightsstatements.org/vocab/CNE/1.0/,application/pdf,http://archiveswest.orbiscascade.org/ark:/80444/xv38397,2016-04-04T00:00:00Z
2015-12-28,1973-03-12,"Carbon County, Utah, United States, http://sws.geonames.org/5536454","Accn1479, Carbon County oral history project, 1972-1993",Text,2016-04-04T00:00:00Z,"The interview with Joseph Dalpaiz covers the subjects of his father, mining, strikes, prejudice, the company store, Helper, the mafia and the Ku Klux Klan, leaders in Helper, wages, and church. The Carbon County oral history project (1972-1993) consists of oral histories from residents of Carbon County, Utah. While the main emphasis is on living in coal mine country, the interviews are verbal snapshots of rural Utah life from the earliest settlers to as recently as 1993.","Dalpaiz, Joseph, 1901- --Interviews; Coal mines and mining--Utah; Strikes and lockouts--Miners--Utah; Italian Americans--Social life and customs; Mafia--United States; Ku Klux Klan (1915- ); Jones, Mother, 1837-1930; Miners--Labor unions",ark:/87278/s6p57qtj,"Joseph Dalpaiz, Helper, Utah, Carbon County oral history project, No. CC-29, March 12, 1973",uum_ccoh,"Dalpaiz, Joseph, 1901-","I acknowledge and agree that all information I obtain as a result of accessing any oral history provided by the University of Utah’s Marriott Library shall be used only for historical or scholarly or academic research purposes, and not for commercial purposes. I understand that any other use of the materials is not authorized by the University of Utah and may exceed the scope of permission granted to the University of Utah by the interviewer or interviewee. I may request permission for other uses, in writing to Special Collections at the Marriott Library, which the University of Utah may choose grant, in its sole discretion. I agree to defend, indemnify and hold the University of Utah and its Marriott Library harmless for and against any actions or claims that relate to my improper use of materials provided by the University of Utah.",1479_001_10.pdf,oral histories (literary works),eng,"Tomsic, Kendra; Tomsic, C.; University of Utah. American West Center",783938,"Italian Americans--Social life and customs; Miners--Labor unions; Strikes and lockouts--Miners; Coal mines and mining; Mafia; Ku Klux Klan (1915- ); Jones, Mother, 1837-1930",http://rightsstatements.org/vocab/CNE/1.0/,application/pdf,http://archiveswest.orbiscascade.org/ark:/80444/xv38397,2016-04-04T00:00:00Z
